Year,#,Category,Nominee,Additional Info,Won?,Race,Multi-Racial?,Dynamic,Stereotype,Restricted Race Role,Helps main white pratagonist in their journey or story was POV of white person,,,
1982,55th,Actress -- Leading Role,Meryl Streep,Sophie's Choice {'Sophie'},YES,White,,,,,,,,
1982,55th,Actress -- Supporting Role,Jessica Lange,Tootsie {'Julie Nichols'},YES,White,,,,,,,,
1981,54th,Actor -- Leading Role,Henry Fonda,"On Golden Pond {'Norman Thayer, Jr.'}",YES,White,,,,,,,,
1981,54th,Actor -- Supporting Role,John Gielgud,Arthur {'Hobson'},YES,White,,,,,,,,
1981,54th,Actress -- Leading Role,Katharine Hepburn,On Golden Pond {'Ethel Thayer'},YES,White,,,,,,,,
1981,54th,Actress -- Supporting Role,Maureen Stapleton,Reds {'Emma Goldman'},YES,White,,,,,,,,
1980,53rd,Actor -- Leading Role,Robert De Niro,Raging Bull {'Jake LaMotta'},YES,White,,,,,,,,
1980,53rd,Actor -- Supporting Role,Timothy Hutton,Ordinary People {'Conrad Jarrett'},YES,White,,,,,,,,
1980,53rd,Actress -- Leading Role,Sissy Spacek,Coal Miner's Daughter {'Loretta Lynn'},YES,White,,,,,,,,
1980,53rd,Actress -- Supporting Role,Mary Steenburgen,Melvin and Howard {'Lynda Dummar'},YES,White,,,,,,,,
2012,85th,Actress -- Supporting Role,Anne Hathaway,"Les Misérables {""Fantine""}",YES,White,,,,,,,,
